Weekly Schedule,Day,Day of Week,Muscle Group,Exercise,Week,Sets,Reps,Load,RPE
4 Days Per Week,Day 1,Monday,QUADS COMPOUND,Barbell Squat,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 1,Monday,QUADS COMPOUND,Barbell Squat,3-4,3,8-10,N/A,8
4 Days Per Week,Day 1,Monday,QUADS COMPOUND,Barbell Squat,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 1,Monday,QUADS COMPOUND,Barbell Squat,7-8,3,5,N/A,9
4 Days Per Week,Day 1,Monday,HAMSTRINGS COMPOUND,Romanian Deadlift,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 1,Monday,HAMSTRINGS COMPOUND,Romanian Deadlift,3-4,3,8-10,N/A,8
4 Days Per Week,Day 1,Monday,HAMSTRINGS COMPOUND,Romanian Deadlift,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 1,Monday,HAMSTRINGS COMPOUND,Romanian Deadlift,7-8,3,5,N/A,9
4 Days Per Week,Day 1,Monday,VERTICAL PULL,Pull Up U/H,1-8,3,AMRAP,N/A,N/A
4 Days Per Week,Day 1,Monday,HORIZONTAL ROW,Seated Cable Row,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 1,Monday,HORIZONTAL ROW,Seated Cable Row,3-4,3,8-10,N/A,8
4 Days Per Week,Day 1,Monday,HORIZONTAL ROW,Seated Cable Row,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 1,Monday,HORIZONTAL ROW,Seated Cable Row,7-8,3,5,N/A,9
4 Days Per Week,Day 1,Monday,VERTICAL PUSH,Seated shoulder Press,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 1,Monday,VERTICAL PUSH,Seated shoulder Press,3-4,3,8-10,N/A,8
4 Days Per Week,Day 1,Monday,VERTICAL PUSH,Seated shoulder Press,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 1,Monday,VERTICAL PUSH,Seated shoulder Press,7-8,3,5,N/A,9
4 Days Per Week,Day 1,Monday,HORIZONTAL PUSH,Flat DB Press,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 1,Monday,HORIZONTAL PUSH,Flat DB Press,3-4,3,8-10,N/A,8
4 Days Per Week,Day 1,Monday,HORIZONTAL PUSH,Flat DB Press,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 1,Monday,HORIZONTAL PUSH,Flat DB Press,7-8,3,5,N/A,9
4 Days Per Week,Day 1,Monday,DELTS,DB Side Raise,1-2,3,12-15,N/A,8
4 Days Per Week,Day 1,Monday,DELTS,DB Side Raise,3-4,3,10-12,N/A,8
4 Days Per Week,Day 1,Monday,DELTS,DB Side Raise,5-6,3,8-10,N/A,9
4 Days Per Week,Day 1,Monday,DELTS,DB Side Raise,7-8,3,8,N/A,9
4 Days Per Week,Day 1,Monday,BICEPS,DB Curl,1-2,3,10-12,N/A,8
4 Days Per Week,Day 1,Monday,BICEPS,DB Curl,3-4,3,8-10,N/A,8
4 Days Per Week,Day 1,Monday,BICEPS,DB Curl,5-6,3,6-8,N/A,9
4 Days Per Week,Day 1,Monday,BICEPS,DB Curl,7-8,3,6,N/A,9
4 Days Per Week,Day 1,Monday,TRICEPS,Rope Push Down,1-2,3,10-12,N/A,8
4 Days Per Week,Day 1,Monday,TRICEPS,Rope Push Down,3-4,3,8-10,N/A,8
4 Days Per Week,Day 1,Monday,TRICEPS,Rope Push Down,5-6,3,6-8,N/A,9
4 Days Per Week,Day 1,Monday,TRICEPS,Rope Push Down,7-8,3,6,N/A,9
4 Days Per Week,Day 1,Monday,GLUTEs,BB hip thrust,1-2,3,10-12,N/A,8
4 Days Per Week,Day 1,Monday,GLUTEs,BB hip thrust,3-4,3,8-10,N/A,8
4 Days Per Week,Day 1,Monday,GLUTEs,BB hip thrust,5-6,3,6-8,N/A,9
4 Days Per Week,Day 1,Monday,GLUTEs,BB hip thrust,7-8,3,6,N/A,9
4 Days Per Week,Day 1,Monday,ABS,V Sit Up,1-8,3,15-20,N/A,8
4 Days Per Week,Day 2,Tuesday,QUADS COMPOUND,Leg Press,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 2,Tuesday,QUADS COMPOUND,Leg Press,3-4,3,8-10,N/A,8
4 Days Per Week,Day 2,Tuesday,QUADS COMPOUND,Leg Press,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 2,Tuesday,QUADS COMPOUND,Leg Press,7-8,3,5,N/A,9
4 Days Per Week,Day 2,Tuesday,HAMSTRINGS COMPOUND,Stiff Leg Deadlift,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 2,Tuesday,HAMSTRINGS COMPOUND,Stiff Leg Deadlift,3-4,3,8-10,N/A,8
4 Days Per Week,Day 2,Tuesday,HAMSTRINGS COMPOUND,Stiff Leg Deadlift,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 2,Tuesday,HAMSTRINGS COMPOUND,Stiff Leg Deadlift,7-8,3,5,N/A,9
4 Days Per Week,Day 2,Tuesday,VERTICAL PULL,Pull Up Mid,1-8,3,AMRAP,N/A,N/A
4 Days Per Week,Day 2,Tuesday,HORIZONTAL ROW,SA DB Row,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 2,Tuesday,HORIZONTAL ROW,SA DB Row,3-4,3,8-10,N/A,8
4 Days Per Week,Day 2,Tuesday,HORIZONTAL ROW,SA DB Row,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 2,Tuesday,HORIZONTAL ROW,SA DB Row,7-8,3,5,N/A,9
4 Days Per Week,Day 2,Tuesday,VERTICAL PUSH,Standing BB Press,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 2,Tuesday,VERTICAL PUSH,Standing BB Press,3-4,3,8-10,N/A,8
4 Days Per Week,Day 2,Tuesday,VERTICAL PUSH,Standing BB Press,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 2,Tuesday,VERTICAL PUSH,Standing BB Press,7-8,3,5,N/A,9
4 Days Per Week,Day 2,Tuesday,HORIZONTAL PUSH,Incline DB Press,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 2,Tuesday,HORIZONTAL PUSH,Incline DB Press,3-4,3,8-10,N/A,8
4 Days Per Week,Day 2,Tuesday,HORIZONTAL PUSH,Incline DB Press,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 2,Tuesday,HORIZONTAL PUSH,Incline DB Press,7-8,3,5,N/A,9
4 Days Per Week,Day 2,Tuesday,DELTS,Face Pull,1-2,3,12-15,N/A,8
4 Days Per Week,Day 2,Tuesday,DELTS,Face Pull,3-4,3,10-12,N/A,8
4 Days Per Week,Day 2,Tuesday,DELTS,Face Pull,5-6,3,8-10,N/A,9
4 Days Per Week,Day 2,Tuesday,DELTS,Face Pull,7-8,3,8,N/A,9
4 Days Per Week,Day 2,Tuesday,BICEPS,Hammer Curl,1-2,3,10-12,N/A,8
4 Days Per Week,Day 2,Tuesday,BICEPS,Hammer Curl,3-4,3,8-10,N/A,8
4 Days Per Week,Day 2,Tuesday,BICEPS,Hammer Curl,5-6,3,6-8,N/A,9
4 Days Per Week,Day 2,Tuesday,BICEPS,Hammer Curl,7-8,3,6,N/A,9
4 Days Per Week,Day 2,Tuesday,TRICEPS,CG Push Up,1-2,3,10-12,N/A,8
4 Days Per Week,Day 2,Tuesday,TRICEPS,CG Push Up,3-4,3,8-10,N/A,8
4 Days Per Week,Day 2,Tuesday,TRICEPS,CG Push Up,5-6,3,6-8,N/A,9
4 Days Per Week,Day 2,Tuesday,TRICEPS,CG Push Up,7-8,3,6,N/A,9
4 Days Per Week,Day 2,Tuesday,GLUTEs,Glute Bridge,1-2,3,10-12,N/A,8
4 Days Per Week,Day 2,Tuesday,GLUTEs,Glute Bridge,3-4,3,8-10,N/A,8
4 Days Per Week,Day 2,Tuesday,GLUTEs,Glute Bridge,5-6,3,6-8,N/A,9
4 Days Per Week,Day 2,Tuesday,GLUTEs,Glute Bridge,7-8,3,6,N/A,9
4 Days Per Week,Day 2,Tuesday,ABS,Cable Crunch,1-8,3,15-20,N/A,8
4 Days Per Week,Day 3,Thursday,QUADS COMPOUND,Hack Squat,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 3,Thursday,QUADS COMPOUND,Hack Squat,3-4,3,8-10,N/A,8
4 Days Per Week,Day 3,Thursday,QUADS COMPOUND,Hack Squat,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 3,Thursday,QUADS COMPOUND,Hack Squat,7-8,3,5,N/A,9
4 Days Per Week,Day 3,Thursday,HAMSTRINGS COMPOUND,Conventional Deadlift,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 3,Thursday,HAMSTRINGS COMPOUND,Conventional Deadlift,3-4,3,8-10,N/A,8
4 Days Per Week,Day 3,Thursday,HAMSTRINGS COMPOUND,Conventional Deadlift,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 3,Thursday,HAMSTRINGS COMPOUND,Conventional Deadlift,7-8,3,5,N/A,9
4 Days Per Week,Day 3,Thursday,VERTICAL PULL,Chin Up,1-8,3,AMRAP,N/A,N/A
4 Days Per Week,Day 3,Thursday,HORIZONTAL ROW,Seated Cable Row,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 3,Thursday,HORIZONTAL ROW,Seated Cable Row,3-4,3,8-10,N/A,8
4 Days Per Week,Day 3,Thursday,HORIZONTAL ROW,Seated Cable Row,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 3,Thursday,HORIZONTAL ROW,Seated Cable Row,7-8,3,5,N/A,9
4 Days Per Week,Day 3,Thursday,VERTICAL PUSH,DB Shoulder Press,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 3,Thursday,VERTICAL PUSH,DB Shoulder Press,3-4,3,8-10,N/A,8
4 Days Per Week,Day 3,Thursday,VERTICAL PUSH,DB Shoulder Press,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 3,Thursday,VERTICAL PUSH,DB Shoulder Press,7-8,3,5,N/A,9
4 Days Per Week,Day 3,Thursday,HORIZONTAL PUSH,DB Bench Press,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 3,Thursday,HORIZONTAL PUSH,DB Bench Press,3-4,3,8-10,N/A,8
4 Days Per Week,Day 3,Thursday,HORIZONTAL PUSH,DB Bench Press,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 3,Thursday,HORIZONTAL PUSH,DB Bench Press,7-8,3,5,N/A,9
4 Days Per Week,Day 3,Thursday,DELTS,DB Side Raise,1-2,3,12-15,N/A,8
4 Days Per Week,Day 3,Thursday,DELTS,DB Side Raise,3-4,3,10-12,N/A,8
4 Days Per Week,Day 3,Thursday,DELTS,DB Side Raise,5-6,3,8-10,N/A,9
4 Days Per Week,Day 3,Thursday,DELTS,DB Side Raise,7-8,3,8,N/A,9
4 Days Per Week,Day 3,Thursday,BICEPS,Barbell Curl,1-2,3,10-12,N/A,8
4 Days Per Week,Day 3,Thursday,BICEPS,Barbell Curl,3-4,3,8-10,N/A,8
4 Days Per Week,Day 3,Thursday,BICEPS,Barbell Curl,5-6,3,6-8,N/A,9
4 Days Per Week,Day 3,Thursday,BICEPS,Barbell Curl,7-8,3,6,N/A,9
4 Days Per Week,Day 3,Thursday,TRICEPS,Tricep Extensions,1-2,3,10-12,N/A,8
4 Days Per Week,Day 3,Thursday,TRICEPS,Tricep Extensions,3-4,3,8-10,N/A,8
4 Days Per Week,Day 3,Thursday,TRICEPS,Tricep Extensions,5-6,3,6-8,N/A,9
