Weekly Schedule,Day,Day of Week,Muscle Group,Exercise,Week,Sets,Reps,Load,RPE
3 Days Per Week,Day 2,Wednesday,HAMSTRINGS COMPOUND,Conventional Deadlift,7-8,3,5,N/A,9
3 Days Per Week,Day 2,Wednesday,VERTICAL PULL,Pull Up Mid,1-8,3,AMRAP,N/A,N/A
3 Days Per Week,Day 2,Wednesday,HORIZONTAL ROW,SA DB Row,1-2,3,10-12,N/A,7-8
3 Days Per Week,Day 2,Wednesday,HORIZONTAL ROW,SA DB Row,3-4,3,8-10,N/A,8
3 Days Per Week,Day 2,Wednesday,HORIZONTAL ROW,SA DB Row,5-6,3,6-8,N/A,8-9
3 Days Per Week,Day 2,Wednesday,HORIZONTAL ROW,SA DB Row,7-8,3,5,N/A,9
3 Days Per Week,Day 2,Wednesday,VERTICAL PUSH,Standing BB Press,1-2,3,10-12,N/A,7-8
3 Days Per Week,Day 2,Wednesday,VERTICAL PUSH,Standing BB Press,3-4,3,8-10,N/A,8
3 Days Per Week,Day 2,Wednesday,VERTICAL PUSH,Standing BB Press,5-6,3,6-8,N/A,8-9
3 Days Per Week,Day 2,Wednesday,VERTICAL PUSH,Standing BB Press,7-8,3,5,N/A,9
3 Days Per Week,Day 2,Wednesday,HORIZONTAL PUSH,Incline DB Press,1-2,3,10-12,N/A,7-8
3 Days Per Week,Day 2,Wednesday,HORIZONTAL PUSH,Incline DB Press,3-4,3,8-10,N/A,8
3 Days Per Week,Day 2,Wednesday,HORIZONTAL PUSH,Incline DB Press,5-6,3,6-8,N/A,8-9
3 Days Per Week,Day 2,Wednesday,HORIZONTAL PUSH,Incline DB Press,7-8,3,5,N/A,9
3 Days Per Week,Day 2,Wednesday,DELTS,Face Pull,1-2,3,12-15,N/A,8
3 Days Per Week,Day 2,Wednesday,DELTS,Face Pull,3-4,3,10-12,N/A,8
3 Days Per Week,Day 2,Wednesday,DELTS,Face Pull,5-6,3,8-10,N/A,9
3 Days Per Week,Day 2,Wednesday,DELTS,Face Pull,7-8,3,8,N/A,9
3 Days Per Week,Day 2,Wednesday,BICEPS,Hammer Curl,1-2,3,10-12,N/A,8
3 Days Per Week,Day 2,Wednesday,BICEPS,Hammer Curl,3-4,3,8-10,N/A,8
3 Days Per Week,Day 2,Wednesday,BICEPS,Hammer Curl,5-6,3,6-8,N/A,9
3 Days Per Week,Day 2,Wednesday,BICEPS,Hammer Curl,7-8,3,6,N/A,9
3 Days Per Week,Day 2,Wednesday,TRICEPS,CG Push Up,1-2,3,10-12,N/A,8
3 Days Per Week,Day 2,Wednesday,TRICEPS,CG Push Up,3-4,3,8-10,N/A,8
3 Days Per Week,Day 2,Wednesday,TRICEPS,CG Push Up,5-6,3,6-8,N/A,9
3 Days Per Week,Day 2,Wednesday,TRICEPS,CG Push Up,7-8,3,6,N/A,9
3 Days Per Week,Day 2,Wednesday,GLUTEs,Glute Bridge,1-2,3,10-12,N/A,8
3 Days Per Week,Day 2,Wednesday,GLUTEs,Glute Bridge,3-4,3,8-10,N/A,8
3 Days Per Week,Day 2,Wednesday,GLUTEs,Glute Bridge,5-6,3,6-8,N/A,9
3 Days Per Week,Day 2,Wednesday,GLUTEs,Glute Bridge,7-8,3,6,N/A,9
3 Days Per Week,Day 2,Wednesday,ABS,Cable Crunch,1-8,3,15-20,N/A,8
3 Days Per Week,Day 3,Friday,QUADS COMPOUND,Leg Press,1-2,3,10-12,N/A,7-8
3 Days Per Week,Day 3,Friday,QUADS COMPOUND,Leg Press,3-4,3,8-10,N/A,8
3 Days Per Week,Day 3,Friday,QUADS COMPOUND,Leg Press,5-6,3,6-8,N/A,8-9
3 Days Per Week,Day 3,Friday,QUADS COMPOUND,Leg Press,7-8,3,5,N/A,9
3 Days Per Week,Day 3,Friday,HAMSTRINGS COMPOUND,Stiff Leg Deadlift,1-2,3,10-12,N/A,7-8
3 Days Per Week,Day 3,Friday,HAMSTRINGS COMPOUND,Stiff Leg Deadlift,3-4,3,8-10,N/A,8
3 Days Per Week,Day 3,Friday,HAMSTRINGS COMPOUND,Stiff Leg Deadlift,5-6,3,6-8,N/A,8-9
3 Days Per Week,Day 3,Friday,HAMSTRINGS COMPOUND,Stiff Leg Deadlift,7-8,3,5,N/A,9
3 Days Per Week,Day 3,Friday,VERTICAL PULL,Chin Up,1-8,3,AMRAP,N/A,N/A
3 Days Per Week,Day 3,Friday,HORIZONTAL ROW,Seated Cable Row,1-2,3,10-12,N/A,7-8
3 Days Per Week,Day 3,Friday,HORIZONTAL ROW,Seated Cable Row,3-4,3,8-10,N/A,8
3 Days Per Week,Day 3,Friday,HORIZONTAL ROW,Seated Cable Row,5-6,3,6-8,N/A,8-9
3 Days Per Week,Day 3,Friday,HORIZONTAL ROW,Seated Cable Row,7-8,3,5,N/A,9
3 Days Per Week,Day 3,Friday,VERTICAL PUSH,DB Shoulder Press,1-2,3,10-12,N/A,7-8
3 Days Per Week,Day 3,Friday,VERTICAL PUSH,DB Shoulder Press,3-4,3,8-10,N/A,8
3 Days Per Week,Day 3,Friday,VERTICAL PUSH,DB Shoulder Press,5-6,3,6-8,N/A,8-9
3 Days Per Week,Day 3,Friday,VERTICAL PUSH,DB Shoulder Press,7-8,3,5,N/A,9
3 Days Per Week,Day 3,Friday,HORIZONTAL PUSH,DB Bench Press,1-2,3,10-12,N/A,7-8
3 Days Per Week,Day 3,Friday,HORIZONTAL PUSH,DB Bench Press,3-4,3,8-10,N/A,8
3 Days Per Week,Day 3,Friday,HORIZONTAL PUSH,DB Bench Press,5-6,3,6-8,N/A,8-9
3 Days Per Week,Day 3,Friday,HORIZONTAL PUSH,DB Bench Press,7-8,3,5,N/A,9
3 Days Per Week,Day 3,Friday,DELTS,DB Side Raise,1-2,3,12-15,N/A,8
3 Days Per Week,Day 3,Friday,DELTS,DB Side Raise,3-4,3,10-12,N/A,8
3 Days Per Week,Day 3,Friday,DELTS,DB Side Raise,5-6,3,8-10,N/A,9
3 Days Per Week,Day 3,Friday,DELTS,DB Side Raise,7-8,3,8,N/A,9
3 Days Per Week,Day 3,Friday,BICEPS,Barbell Curl,1-2,3,10-12,N/A,8
3 Days Per Week,Day 3,Friday,BICEPS,Barbell Curl,3-4,3,8-10,N/A,8
3 Days Per Week,Day 3,Friday,BICEPS,Barbell Curl,5-6,3,6-8,N/A,9
3 Days Per Week,Day 3,Friday,BICEPS,Barbell Curl,7-8,3,6,N/A,9
3 Days Per Week,Day 3,Friday,TRICEPS,Tricep Extensions,1-2,3,10-12,N/A,8
3 Days Per Week,Day 3,Friday,TRICEPS,Tricep Extensions,3-4,3,8-10,N/A,8
3 Days Per Week,Day 3,Friday,TRICEPS,Tricep Extensions,5-6,3,6-8,N/A,9
3 Days Per Week,Day 3,Friday,TRICEPS,Tricep Extensions,7-8,3,6,N/A,9
3 Days Per Week,Day 3,Friday,GLUTEs,BB hip thrust,1-2,3,10-12,N/A,8
3 Days Per Week,Day 3,Friday,GLUTEs,BB hip thrust,3-4,3,8-10,N/A,8
3 Days Per Week,Day 3,Friday,GLUTEs,BB hip thrust,5-6,3,6-8,N/A,9
3 Days Per Week,Day 3,Friday,GLUTEs,BB hip thrust,7-8,3,6,N/A,9
3 Days Per Week,Day 3,Friday,ABS,BB Crunches,1-8,3,15-20,N/A,8
