Weekly Schedule,Day,Day of Week,Muscle Group,Exercise,Week,Sets,Reps,Load,RPE
5 Days Per Week,Day 3,Wednesday,HORIZONTAL ROW,SA DB Row,1-2,3,10-12,N/A,7-8
5 Days Per Week,Day 3,Wednesday,HORIZONTAL ROW,SA DB Row,3-4,3,8-10,N/A,8
5 Days Per Week,Day 3,Wednesday,HORIZONTAL ROW,SA DB Row,5-6,3,6-8,N/A,8-9
5 Days Per Week,Day 3,Wednesday,HORIZONTAL ROW,SA DB Row,7-8,3,5,N/A,9
5 Days Per Week,Day 3,Wednesday,VERTICAL PUSH,Standing BB Press,1-2,3,10-12,N/A,7-8
5 Days Per Week,Day 3,Wednesday,VERTICAL PUSH,Standing BB Press,3-4,3,8-10,N/A,8
5 Days Per Week,Day 3,Wednesday,VERTICAL PUSH,Standing BB Press,5-6,3,6-8,N/A,8-9
5 Days Per Week,Day 3,Wednesday,VERTICAL PUSH,Standing BB Press,7-8,3,5,N/A,9
5 Days Per Week,Day 3,Wednesday,HORIZONTAL PUSH,Incline DB Press,1-2,3,10-12,N/A,7-8
5 Days Per Week,Day 3,Wednesday,HORIZONTAL PUSH,Incline DB Press,3-4,3,8-10,N/A,8
5 Days Per Week,Day 3,Wednesday,HORIZONTAL PUSH,Incline DB Press,5-6,3,6-8,N/A,8-9
5 Days Per Week,Day 3,Wednesday,HORIZONTAL PUSH,Incline DB Press,7-8,3,5,N/A,9
5 Days Per Week,Day 3,Wednesday,DELTS,Face Pull,1-2,3,12-15,N/A,8
5 Days Per Week,Day 3,Wednesday,DELTS,Face Pull,3-4,3,10-12,N/A,8
5 Days Per Week,Day 3,Wednesday,DELTS,Face Pull,5-6,3,8-10,N/A,9
5 Days Per Week,Day 3,Wednesday,DELTS,Face Pull,7-8,3,8,N/A,9
5 Days Per Week,Day 3,Wednesday,BICEPS,Hammer Curl,1-2,3,10-12,N/A,8
5 Days Per Week,Day 3,Wednesday,BICEPS,Hammer Curl,3-4,3,8-10,N/A,8
5 Days Per Week,Day 3,Wednesday,BICEPS,Hammer Curl,5-6,3,6-8,N/A,9
5 Days Per Week,Day 3,Wednesday,BICEPS,Hammer Curl,7-8,3,6,N/A,9
5 Days Per Week,Day 3,Wednesday,TRICEPS,CG Push Up,1-2,3,10-12,N/A,8
5 Days Per Week,Day 3,Wednesday,TRICEPS,CG Push Up,3-4,3,8-10,N/A,8
5 Days Per Week,Day 3,Wednesday,TRICEPS,CG Push Up,5-6,3,6-8,N/A,9
5 Days Per Week,Day 3,Wednesday,TRICEPS,CG Push Up,7-8,3,6,N/A,9
5 Days Per Week,Day 3,Wednesday,GLUTEs,Glute Bridge,1-2,3,10-12,N/A,8
5 Days Per Week,Day 3,Wednesday,GLUTEs,Glute Bridge,3-4,3,8-10,N/A,8
5 Days Per Week,Day 3,Wednesday,GLUTEs,Glute Bridge,5-6,3,6-8,N/A,9
5 Days Per Week,Day 3,Wednesday,GLUTEs,Glute Bridge,7-8,3,6,N/A,9
5 Days Per Week,Day 3,Wednesday,ABS,Cable Crunch,1-8,3,15-20,N/A,8
5 Days Per Week,Day 3,Wednesday,GLUTES (ACCESSORY),Crab Walk,1-8,3,15-20,N/A,8
5 Days Per Week,Day 4,Thursday,QUADS COMPOUND,Hack Squat,1-2,3,10-12,N/A,7-8
5 Days Per Week,Day 4,Thursday,QUADS COMPOUND,Hack Squat,3-4,3,8-10,N/A,8
5 Days Per Week,Day 4,Thursday,QUADS COMPOUND,Hack Squat,5-6,3,6-8,N/A,8-9
5 Days Per Week,Day 4,Thursday,QUADS COMPOUND,Hack Squat,7-8,3,5,N/A,9
5 Days Per Week,Day 4,Thursday,HAMSTRINGS COMPOUND,Conventional Deadlift,1-2,3,10-12,N/A,7-8
5 Days Per Week,Day 4,Thursday,HAMSTRINGS COMPOUND,Conventional Deadlift,3-4,3,8-10,N/A,8
5 Days Per Week,Day 4,Thursday,HAMSTRINGS COMPOUND,Conventional Deadlift,5-6,3,6-8,N/A,8-9
5 Days Per Week,Day 4,Thursday,HAMSTRINGS COMPOUND,Conventional Deadlift,7-8,3,5,N/A,9
5 Days Per Week,Day 4,Thursday,VERTICAL PULL,Chin Up,1-8,3,AMRAP,N/A,N/A
