Week,Day,Block,Training Type,Exercise,Sets,Reps,%1RM,RPE,Rest (minutes),Notes,LSRPE
1,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),BACK SQUAT,3,5,"75-80%",8,3.0,"DRIVE THROUGH HEELS, KEEP KNEES OUT IN DIRECTION OF TOES, WIDER STANCE, 15' FOOT FLARE",
1,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),ROMANIAN DEADLIFT,3,6-8,,8,1.5,"SET HIPS BACK UNTIL STRETCH IS FELT IN HAMSTRINGS, THRUST HIPS FORWARD AND SQUEEZE GLUTES HARD AT THE TOP",
1,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),A1. SEATED LEG CURL,3,12-15,,8,0.0,"FULL ROM, SHOULD FEEL STRETCH IN HAMSTRINGS ON ECCENTRIC",
1,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),A2. SWISS BALL LEG CURL,3,12-15,,9,1.5,"KEEP GLUTES ELEVATED, THIGHS IN A ""STRAIGHT LINE"" WITH UPPER BODY, CURL BALL IN TOWARD YOUR GLUTES",
1,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),MACHINE HIP ABDUCTION (GLUTES ELEVATED),3,25-30,,8,1.5,"KEEP GLUTES 2-6 INCHES ELEVATED OFF THE SEAT, USE A FAST TEMPO AND KEEP CONSTANT TENTION-NO REST BETWEEN REPS!",
1,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),LEG RAISE VARIATION (ABS),3,10-12,,8,1.5,"CAN PERFORM HANGING, USING ROMAN CHAIR OR LYING- CHALLENGEYOURSELFI",
1,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),CRUNCH VARIATION (ABS),2,12-15,,8,1.5,"CAN PERFORM USING A CABLE, WEIGHTED OR MACHINE-CHALLENGE YOURSELF!",
1,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),SEATED DUMBBELL PRESS,3,10-12,,8,2.0,"KEEP SHOULDER BLADES RETRACTED, STOP RANGE OF MOTION ONCE ELBOWS REACH 90'",
1,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),CLOSE GRIP LAT PULLDOWN,3,10-12,,8,2.0,"PULL THROUGH ELBOWS, THINK OF ARMS AS ""CONNECTORS"", TOUCH BAR TO CHEST",
1,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),CLOSE GRIP SEATED CABLE ROW,3,12-15,,8,1.5,"DRIVE ELBOWS DOWN FOR LAT FOCUS OVER TRAP FOCUS, PULL TO STOMACH",
1,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),LEAN AWAY CABLE LATERAL RAISE,3,12-15,,8,1.0,"PUT CABLE BETWEEN LEGS AND LEAN AWAY, DRIVE ""OUT"" WITH THE BACK OF YOUR HAND, NOT ""UP"" WITH YOUR TRAPS",
1,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),REVERSE PEC DECK,4,15-20,,8,1.0,"EXPERIMENT WITH GRIP AND SEE HOW YOU ""FEEL"" REAR DELTS ENGAGE THE MOST, PUSH HANDLES ""OUT"", DON'T PULL ""BACK""",
1,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),BARBELL HIP THRUST,3,10-12,,8,1.5,"USE A WIDER STANCE, 15 FOOT FLARE, SQUEEZE GLUTES AT THE TOP OF EACH REP",
1,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),BARBELL HIP THRUST (DROPSET),1,15-20,,8,1.5,"REDUCE LOAD BY-40-50%, PERFORM ANOTHER 15-20 REPS WITH CONSISTENT FORM",
1,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),A1. CABLE PULLTHROUGH,3,10-12,,8,0.0,"USE ROPE ATTACHMENT, SLIGHT BEND IN KNEES, SET HIPS BACK TO FEEL BIG STRETCH IN GLUTES, EXPLOSIVELY THRUST HIPS FORWARD",
1,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),A2. SINGLE LEG HIP THRUST,3,12-15,,9,2.0,"USE PRELOADED BARBELL OR HOLD A PLATE IN LAP, CONSTANT TENSION ON GLUTES",
1,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),CABLE GLUTE KICK BACK,3,12-15,,8,1.5,"SLIGHT LEAN FORWARD, PUSH BACK THEN UP IN A SLIGHT ARC, HOLD ONTO UPRIGHT FOR SUPPORT",
1,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),STANDING CALF RAISE,3,15-20,,8,1.0,"FEET POINTED STRAIGHT AHEAD, 1 SECOND PAUSE AT THE BOTTOM OF EACH REP",
1,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),LEG RAISE VARIATION (ABS),3,10-12,,8,1.5,"CAN PERFORM HANGING, ROMAN CHAIR OR LYING-CHALLENGE YOURSELF!",
1,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),WIDE GRIP LAT PULLDOWN,3,8-10,,8,1.5,"LEAN BACK 30, USE SLIGHT MOMENTUM, LAST SET TO FAILURE",
1,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),1-ARM DUMBBELL ROW,3,10-12,,8,1.5,"PULL DUMBBELL ""TO BACK POCKET STRETCH ON LATS AT THE BOTTOM",
1,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),INCLINE DUMBBELL CHEST PRESS,3,10-12,,8,1.5,"45 INCLINE, MIND MUSCLE CONNECTION WITH UPPER PECS",
1,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),DUMBBELL RAISE COMPLEX,2,15-15-15,,8,1.5,"15 SIDE RAISES, 15 FRONT RAISES, 15 REAR DELT FLYES, NO REST = 1 SET",
1,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),BANDED LATERAL RAISE,2,30,,10,1.5,"STAND IN THE MIDDLE OF A BAND AND PERFORM LATERAL RAISES, FASTER TEMPO, CONSTANT TENSION ON DELTS",
1,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),BANDED SQUAT BOUNCER,3,20-25,,8,1.0,"2/3 BOTTOM RANGE OF MOTION, BAND AROUND KNEES, CONSTANT TENSION ON GLUTES",
1,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),BANDED ABDUCTION (SEATED),2,20-25,,9,1.0,"BAND AROUND KNEES, FOCUS ON DRIVING KNEES OUT, FEEL GLUTE MEDIUS TO ENSURE ACTIVATION",
1,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),WALKING LUNGE,3,20,,7,1.5,"20 TOTAL STRIDES, USE DUMBBELLS OR A BARBELL (LESS TRAP INVOLVEMENT WITH BARBELL)",
1,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),CABLE GLUTE KICK BACK,3,15-20,,8,1.0,"SLIGHT LEAN FORWARD, PUSH BACK THEN UP IN A SLIGHT ARC, HOLD ONTO UPRIGHT FOR SUPPORT",
1,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),LOWER BACK EXTENSION,3,15-20,,8,1.0,"SLIGHTLY ROUND LOWER BACK, 15 FOOT FLARE, SQUEEZE GLUTES AT THE TOP OF EACH REP",
1,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),BANDED SIDE WALK,2,40,,8,1.0,"20 REPS EACH DIRECTION, MINIBAND AROUND FEET OR FULL BAND AROUND KNEES, SLIGHT BEND AT HIPS, SHORT-6 INCH STEPS",
1,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),FROG PUMP,2,30-50,,8,1.0,"HARD GLUTE SQUEEZE AT THE TOP OF EACH REP, FASTER TEMPO, CHALLENGE YOURSELF FOR MORE REPS EACH WEEK!",
2,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),BACK SQUAT,3,6,"75-80%",8,3.0,"DRIVE THROUGH HEELS, KEEP KNEES OUT IN DIRECTION OF TOES, WIDER STANCE, 15' FOOT FLARE",
2,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),ROMANIAN DEADLIFT,3,6-8,,8,1.5,"SET HIPS BACK UNTIL STRETCH IS FELT IN HAMSTRINGS, THRUST HIPS FORWARD AND SQUEEZE GLUTES HARD AT THE TOP",
2,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),A1. SEATED LEG CURL,3,12-15,,8,0.0,"FULL ROM, SHOULD FEEL STRETCH IN HAMSTRINGS ON ECCENTRIC",
2,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),A2. SWISS BALL LEG CURL,3,12-15,,9,1.5,"KEEP GLUTES ELEVATED, THIGHS IN A ""STRAIGHT LINE"" WITH UPPER BODY, CURL BALL IN TOWARD YOUR GLUTES",
2,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),MACHINE HIP ABDUCTION (GLUTES ELEVATED),3,25-30,,8,1.5,"KEEP GLUTES 2-6 INCHES ELEVATED OFF THE SEAT, USE A FAST TEMPO AND KEEP CONSTANT TENTION-NO REST BETWEEN REPS!",
2,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),LEG RAISE VARIATION (ABS),3,10-12,,8,1.5,"CAN PERFORM HANGING, USING ROMAN CHAIR OR LYING- CHALLENGE YOURSELFI",
2,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),CRUNCH VARIATION (ABS),2,12-15,,8,1.5,"CAN PERFORM USING A CABLE, WEIGHTED OR MACHINE-CHALLENGE YOURSELF!",
2,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),STANDING DUMBBELL PRESS,3,10-12,,8,2.0,"KEEP SHOULDER BLADES RETRACTED, STOP RANGE OF MOTION ONCE ELBOWS REACH 90",
2,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),CLOSE GRIP LAT PULLDOWN,3,10-12,,8,2.0,"PULL THROUGH ELBOWS, THINK OF ARMS AS ""CONNECTORS"", TOUCH BAR TO CHEST",
2,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),CLOSE GRIP SEATED CABLE ROW,3,12-15,,8,1.5,"DRIVE ELBOWS DOWN FOR LAT FOCUS OVER TRAP FOCUS, PULL TO STOMACH",
2,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),LEAN AWAY DUMBBELL LATERAL RAISE,3,12-15,,8,1.0,"DRIVE ""OUT"" WITH THE BACK OF YOUR HAND, NOT ""UP"" WITH YOUR TRAPS",
2,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),REVERSE CABLE FLYE,4,15-20,,8,1.0,"SET UP BETWEEN TWO CABLES OVERHEAD AND FLYE BACK USING REAR DELTS",
2,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),BARBELL HIP THRUST,3,8-10,,8,1.5,"HEAVIER WEIGHT THIS WEEK WITH NO DROPSET",
2,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),A1. CABLE PULLTHROUGH,3,10-12,,8,0.0,"USE ROPE ATTACHMENT, SLIGHT BEND IN KNEES, SET HIPS BACK TO FEEL BIG STRETCH IN GLUTES, EXPLOSIVELY THRUST HIPS FORWARD",
2,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),A2. SINGLE LEG HIP THRUST,3,12-15,,8,2.0,"USE PRELOADED BARBELL OR HOLD A PLATE IN LAP, CONSTANT TENSION ON GLUTES",
2,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),CABLE GLUTE KICK BACK,3,12-15,,8,1.5,"SLIGHT LEAN FORWARD, PUSH BACK THEN UP IN A SLIGHT ARC, HOLD ONTO UPRIGHT FOR SUPPORT",
2,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),SEATED CALF RAISE,3,15-20,,8,1.0,"FEET POINTED STRAIGHT AHEAD, 1 SECOND PAUSE AT THE BOTTOM OF EACH REP",
2,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),LEG RAISE VARIATION (ABS),3,10-12,,8,1.5,"CAN PERFORM HANGING, ROMAN CHAIR OR LYING-CHALLENGE YOURSELFI",
2,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),WIDE GRIP LAT PULLDOWN,3,8-10,,8,1.5,"LEAN BACK 30, USE SLIGHT MOMENTUM, LAST SET TO FAILURE",
2,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),1-ARM DUMBBELL ROW,3,10-12,,8,1.5,"PULL DUMBBELL ""TO BACK POCKET STRETCH ON LATS AT THE BOTTOM",
2,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),INCLINE DUMBBELL FLYE,3,12-15,,8,1.5,"45 INCLINE, MIND MUSCLE CONNECTION WITH UPPER PECS",
2,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),DUMBBELL RAISE COMPLEX,2,15-15-15,,8,1.5,"15 SIDE RAISES, 15 FRONT RAISES, 15 REAR DELT FLYES, NO REST = 1 SET",
2,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),BANDED FRONT RAISE,2,30,,10,1.5,"STAND IN THE MIDDLE OF A BAND AND PERFORM FRONT RAISES, FASTER TEMPO, CONSTANT TENSION ON DELTS",
2,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),BANDED SQUAT BOUNCER,3,20-25,,8,1.0,"2/3 BOTTOM RANGE OF MOTION, BAND AROUND KNEES, CONSTANT TENSION ON GLUTES",
2,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),BANDED ABDUCTION (SEATED),2,20-25,,9,1.0,"BAND AROUND KNEES, FOCUS ON DRIVING KNEES OUT, FEEL GLUTE MEDIUS TO ENSURE ACTIVATION",
2,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),WALKING LUNGE,3,20,,7,1.5,"20 TOTAL STRIDES, USE DUMBBELLS OR A BARBELL (LESS TRAP INVOLVEMENT WITH BARBELL)",
2,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),CABLE PULLTHROUGH,3,15-20,,8,1.0,"USE ROPE ATTACHMENT, SLIGHT BEND IN KNEES, SET HIPS BACK TO FEEL BIG STRETCH IN GLUTES, EXPLOSIVELY THRUST HIPS FORWARD",
2,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),LOWER BACK EXTENSION,3,15-20,,8,1.0,"SLIGHTLY ROUND LOWER BACK, 15 FOOT FLARE, SQUEEZE GLUTES AT THE TOP OF EACH REP",
2,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),BANDED SIDE WALK,2,40,,8,1.0,"20 REPS EACH DIRECTION, MINIBAND AROUND FEET OR FULL BAND AROUND KNEES, SLIGHT BEND AT HIPS, SHORT-6 INCH STEPS",
2,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),FROG PUMP,2,30-50,,8,1.0,"HARD GLUTE SQUEEZE AT THE TOP OF EACH REP, FASTER TEMPO, CHALLENGE YOURSELF FOR MORE REPS EACH WEEK!",
3,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),BACK SQUAT,3,6,"78-83%",8,3.0,"DRIVE THROUGH HEELS, KEEP KNEES OUT IN DIRECTION OF TOES, WIDER STANCE, 15' FOOT FLARE",
3,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),ROMANIAN DEADLIFT,3,6-8,,8,1.5,"SET HIPS BACK UNTIL STRETCH IS FELT IN HAMSTRINGS, THRUST HIPS FORWARD AND SQUEEZE GLUTES HARD AT THE TOP",
3,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),A1. SEATED LEG CURL,3,12-15,,8,0.0,"FULL ROM, SHOULD FEEL STRETCH IN HAMSTRINGS ON ECCENTRIC",
3,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),A2. SWISS BALL LEG CURL,3,12-15,,9,1.5,"KEEP GLUTES ELEVATED, THIGHS IN A ""STRAIGHT LINE"" WITH UPPER BODY, CURL BALL IN TOWARD YOUR GLUTES",
3,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),MACHINE HIP ABDUCTION (GLUTES ELEVATED),3,25-30,,9,1.5,"KEEP GLUTES 2-6 INCHES ELEVATED OFF THE SEAT, USE A FAST TEMPO AND KEEP CONSTANT TENTION-NO REST BETWEEN REPS!",
3,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),LEG RAISE VARIATION (ABS),3,10-12,,9,1.5,"CAN PERFORM HANGING, USING ROMAN CHAIR OR LYING - CHALLENGE YOURSELFI",
3,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),CRUNCH VARIATION (ABS),2,12-15,,8,1.5,"CAN PERFORM USING A CABLE, WEIGHTED OR MACHINE-CHALLENGE YOURSELF!",
3,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),SEATED DUMBBELL PRESS,3,10-12,,8,2.0,"KEEP SHOULDER BLADES RETRACTED, STOP RANGE OF MOTION ONCE ELBOWS REACH 90'",
3,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),CLOSE GRIP LAT PULLDOWN,3,10-12,,9,2.0,"PULL THROUGH ELBOWS, THINK OF ARMS AS ""CONNECTORS"", TOUCH BAR TO CHEST",
3,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),CLOSE GRIP SEATED CABLE ROW,3,12-15,,9,1.5,"DRIVE ELBOWS DOWN FOR LAT FOCUS OVER TRAP FOCUS, PULL TO STOMACH",
3,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),LEAN AWAY CABLE LATERAL RAISE,3,12-15,,9,1.0,"PUT CABLE BETWEEN LEGS AND LEAN AWAY, DRIVE ""OUT"" WITH THE BACK OF YOUR HAND, NOT ""UP"" WITH YOUR TRAPS",
3,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),REVERSE PEC DECK,4,15-20,,9,1.0,"EXPERIMENT WITH GRIP AND SEE HOW YOU ""FEEL"" REAR DELTS ENGAGE THE MOST, PUSH HANDLES ""OUT"", DON'T PULL ""BACK""",
3,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),BARBELL HIP THRUST,3,10-12,,8,1.5,"USE A WIDER STANCE, 15 FOOT FLARE, SQUEEZE GLUTES AT THE TOP OF EACH REP",
3,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),BARBELL HIP THRUST (DROPSET),1,15-20,,9,1.5,"REDUCE LOAD BY-40-50%, PERFORM ANOTHER 15-20 REPS WITH CONSISTENT FORM",
3,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),A1. CABLE PULLTHROUGH,3,10-12,,9,0.0,"USE ROPE ATTACHMENT, SLIGHT BEND IN KNEES, SET HIPS BACK TO FEEL BIG STRETCH IN GLUTES, EXPLOSIVELY THRUST HIPS FORWARD",
3,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),A2. SINGLE LEG HIP THRUST,3,12-15,,9,2.0,"USE PRELOADED BARBELL OR HOLD A PLATE IN LAP, CONSTANT TENSION ON GLUTES",
3,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),CABLE GLUTE KICK BACK,3,12-15,,9,1.5,"SLIGHT LEAN FORWARD, PUSH BACK THEN UP IN A SLIGHT ARC, HOLD ONTO UPRIGHT FOR SUPPORT",
3,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),STANDING CALF RAISE,3,15-20,,9,1.0,"FEET POINTED STRAIGHT AHEAD, 1 SECOND PAUSE AT THE BOTTOM OF EACH REP",
3,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),LEG RAISE VARIATION (ABS),3,10-12,,9,1.5,"CAN PERFORM HANGING, ROMAN CHAIR OR LYING-CHALLENGE YOURSELF!",
3,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),WIDE GRIP LAT PULLDOWN,3,8-10,,9,1.5,"LEAN BACK 30, USE SLIGHT MOMENTUM, LAST SET TO FAILURE",
3,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),1-ARM DUMBBELL ROW,3,10-12,,9,1.5,"PULL DUMBBELL ""TO BACK POCKET"", STRETCH ON LATS AT THE BOTTOM",
3,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),INCLINE DUMBBELL CHEST PRESS,3,10-12,,9,1.5,"45 INCLINE, MIND MUSCLE CONNECTION WITH UPPER PECS",
3,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),DUMBBELL RAISE COMPLEX,2,15-15-15,,9,1.5,"15 SIDE RAISES, 15 FRONT RAISES, 15 REAR DELT FLYES, NO REST = 1 SET",
3,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),BANDED LATERAL RAISE,2,30,,10,1.5,"STAND IN THE MIDDLE OF A BAND AND PERFORM LATERAL RAISES, FASTER TEMPO, CONSTANT TENSION ON DELTS",
3,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),BANDED SQUAT BOUNCER,3,20-25,,9,1.0,"2/3 BOTTOM RANGE OF MOTION, BAND AROUND KNEES, CONSTANT TENSION ON GLUTES",
3,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),BANDED ABDUCTION (SEATED),2,20-25,,9,1.0,"BAND AROUND KNEES, FOCUS ON DRIVING KNEES OUT, FEEL GLUTE MEDIUS TO ENSURE ACTIVATION",
3,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),WALKING LUNGE,3,20,,7,1.5,"20 TOTAL STRIDES, USE DUMBBELLS OR A BARBELL (LESS TRAP INVOLVEMENT WITH BARBELL)",
3,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),GLUTE KICKBACK,3,15-20,,9,1.0,"SLIGHT LEAN FORWARD, PUSH BACK THEN UP IN A SLIGHT ARC, HOLD ONTO UPRIGHT FOR SUPPORT",
3,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),LOWER BACK EXTENSION,3,15-20,,9,1.0,"SLIGHTLY ROUND LOWER BACK, 15 FOOT FLARE, SQUEEZE GLUTES AT THE TOP OF EACH REP",
3,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),BANDED SIDE WALK,2,40,,8,1.0,"20 REPS EACH DIRECTION, MINIBAND AROUND FEET OR FULL BAND AROUND KNEES, SLIGHT BEND AT HIPS, SHORT-6 INCH STEPS",
3,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),FROG PUMP,2,30-50,,8,1.0,"HARD GLUTE SQUEEZE AT THE TOP OF EACH REP, FASTER TEMPO, CHALLENGE YOURSELF FOR MORE REPS EACH WEEK!",
4,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),BACK SQUAT,4,6,"78-83%",8.5,3.0,"DRIVE THROUGH HEELS, KEEP KNEES OUT IN DIRECTION OF TOES, WIDER STANCE, 15' FOOT FLARE",
4,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),ROMANIAN DEADLIFT,4,6-8,,8,1.5,"SET HIPS BACK UNTIL STRETCH IS FELT IN HAMSTRINGS, THRUST HIPS FORWARD AND SQUEEZE GLUTES HARD AT THE TOP",
4,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),A1. SEATED LEG CURL,3,12-15,,8,0.0,"FULL ROM, SHOULD FEEL STRETCH IN HAMSTRINGS ON ECCENTRIC",
4,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),A2. SWISS BALL LEG CURL,3,12-15,,9,1.5,"KEEP GLUTES ELEVATED, THIGHS IN A ""STRAIGHT LINE"" WITH UPPER BODY, CURL BALL IN TOWARD YOUR GLUTES",
4,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),MACHINE HIP ABDUCTION (GLUTES ELEVATED),3,25-30,,9,1.5,"KEEP GLUTES 2-6 INCHES ELEVATED OFF THE SEAT, USE A FAST TEMPO AND KEEP CONSTANT TENTION-NO REST BETWEEN REPS!",
4,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),LEG RAISE VARIATION (ABS),3,10-12,,9,1.5,"CAN PERFORM HANGING, USING ROMAN CHAIR OR LYING-CHALLENGEYOURSELFI",
4,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),CRUNCH VARIATION (ABS),2,12-15,,8,1.5,"CAN PERFORM USING A CABLE, WEIGHTED OR MACHINE-CHALLENGE YOURSELF!",
4,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),STANDING DUMBBELL PRESS,4,10-12,,8,2.0,"KEEP SHOULDER BLADES RETRACTED, STOP RANGE OF MOTION ONCE ELBOWS REACH 90",
4,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),CLOSE GRIP LAT PULLDOWN,3,10-12,,9,2.0,"PULL THROUGH ELBOWS, THINK OF ARMS AS ""CONNECTORS"", TOUCH BAR TO CHEST",
4,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),CLOSE GRIP SEATED CABLE ROW,3,12-15,,9,1.5,"DRIVE ELBOWS DOWN FOR LAT FOCUS OVER TRAP FOCUS, PULL TO STOMACH",
4,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),LEAN AWAY DUMBBELL LATERAL RAISE,3,12-15,,9,1.0,"DRIVE ""OUT"" WITH THE BACK OF YOUR HAND, NOT ""UP"" WITH YOUR TRAPS",
4,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),REVERSE CABLE FLYE,4,15-20,,9,1.0,"SET UP BETWEEN TWO CABLES OVERHEAD AND FLYE BACK USING REAR DELTS",
4,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),BARBELL HIP THRUST,4,8-10,,8,1.5,"HEAVIER WEIGHT THIS WEEK WITH NO DROPSET",
4,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),A1. CABLE PULLTHROUGH,3,10-12,,9,0.0,"USE ROPE ATTACHMENT, SLIGHT BEND IN KNEES, SET HIPS BACK TO FEEL BIG STRETCH IN GLUTES, EXPLOSIVELY THRUST HIPS FORWARD",
4,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),A2. SINGLE LEG HIP THRUST,3,12-15,,9,2.0,"USE PRELOADED BARBELL OR HOLD A PLATE IN LAP, CONSTANT TENSION ON GLUTES",
4,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),CABLE GLUTE KICK BACK,3,12-15,,9,1.5,"SLIGHT LEAN FORWARD, PUSH BACK THEN UP IN A SLIGHT ARC, HOLD ONTO UPRIGHT FOR SUPPORT",
4,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),SEATED CALF RAISE,3,15-20,,9,1.0,"FEET POINTED STRAIGHT AHEAD, 1 SECOND PAUSE AT THE BOTTOM OF EACH REP",
