Mesocycle,Week,Day,Workout Type,Exercise,Sets,Rep Goal,Notes,Video Link
Mesocycle 1 Basic Hypertrophy,Week 5: Deload,Day 1,Chest Isolation,Flat Dumbbell Flye ,2,1/2 reps of Week 1,,https://www.youtube.com/watch?v=9yjaVlj69H0
Mesocycle 1 Basic Hypertrophy,Week 5: Deload,Day 1,Vertical Push,Incline Medium Grip Bench Press,2,1/2 reps of Week 1,,https://www.youtube.com/watch?v=LGUfh4tc13I
Mesocycle 1 Basic Hypertrophy,Week 5: Deload,Day 1,Triceps,Cable Tricep Pushdown,2,1/2 reps of Week 1,,https://www.youtube.com/watch?v=EHZ-EmyH0AA
Mesocycle 1 Basic Hypertrophy,Week 5: Deload,Day 1,Horizontal Pull,Barbell Bent-Row,2,1/2 reps of Week 1,,https://www.youtube.com/watch?v=nMu_CWMVewc
Mesocycle 1 Basic Hypertrophy,Week 5: Deload,Day 1,Deadlifts and Glute Bridges,Deadlift ,2,1/2 reps of Week 1,,https://www.youtube.com/watch?v=wWYRrCVvEcY
Mesocycle 1 Basic Hypertrophy,Week 5: Deload,Day 1,Abs,V-Up,2,1/2 reps of Week 1,,https://www.youtube.com/watch?v=8ywlNJEp4bA
Mesocycle 1 Basic Hypertrophy,Week 5: Deload,Day 1,Calves,Calves on Leg Press,2,1/2 reps of Week 1,,https://www.youtube.com/watch?v=5f-MN0b_V4g
Mesocycle 1 Basic Hypertrophy,Week 5: Deload,Day 2,Quads,High Bar Squat,2,1/2 reps of Week 1,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 5: Deload,Day 2,Quads,High Bar Squat,2,1/2 reps of Week 1,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 5: Deload,Day 2,Hamstrings,Stiff Legged Deadlift,2,1/2 reps of Week 1,,https://www.youtube.com/watch?v=V8Wxzum0Heg
Mesocycle 1 Basic Hypertrophy,Week 5: Deload,Day 2,Deadlifts and Glute Bridges,Deadlift ,2,1/2 reps of Week 1,,https://www.youtube.com/watch?v=wWYRrCVvEcY
